what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425343344045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425343371193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425343372452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425343380180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425343591027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425344704534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425344763312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425344783286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425344851949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425344866176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425344869067
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425344967940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425345184137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425345192414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425345473834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425345475948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346023349
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425346025632
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425346025654
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1425346043073
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.5.1,"org.tigris.subversion.clientadapter.javahl",1425346043119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346044399
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346044477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346081801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346160848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346164174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346170591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346203247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346338902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346345790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346360695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346361357
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346424685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346429021
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346572973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346575588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425346970156
