what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522106677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522109012
opened,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.LogCatView",1425522109497
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.LogCatView",1425522109544
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522116528
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.DeviceView",1425522116535
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1425522117640
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1425522120100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522122474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522123879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522124869
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.LogCatView",1425522140778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522144340
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1425522144348
activated,perspective,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.Perspective",1425522144661
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.LogCatView",1425522144684
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1425522160809
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1425522161124
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425522161317
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425522161374
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1425522165770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522196358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522196489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522196616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522242750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1425522242754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522252967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522253972
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1425522253977
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522254385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425522254646
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425522261153
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1425522262830
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1425522300497
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425522311994
